Academic license - for non-commercial use only - expires 2022-09-02
Using license file /home/local/ASUAD/sbhambr1/gurobi.lic
gamma V0_UR V1_UR V2_UR V3_UR V0_NE V1_NE V2_NE V3_NE V0_SSE V1_SSE V2_SSE V3_SSE 

0.0 -20.0 -1.5 -4.333333333333333 -1.0 -20.0 -1.153846153846154 -1.7741935483870972 -1.0 -20.0 -0.0 -1.7575757575757578 -0.9999999999999996 
0.05 -21.052631578945313 -0.0690127588922862 -4.439820822123242 -1.648756641369371 -21.052631578945313 -1.2171871517997443 -1.8391108601675357 -1.114475590776673 -21.052631578945313 -0.00806068449944819 -1.8071692338970617 -1.0726679337840181 
0.1 -22.22222222 -0.14817371354022235 -4.593385156738618 -2.3839763323851084 -22.22222222 -1.2876064394549054 -1.914695180395172 -1.2454264676317375 -22.22222222 -0.01798464746341022 -1.8625115143035842 -1.151086924037886 
0.15 -23.529411629023436 -0.24161329209454374 -4.8054214698928845 -3.2215415914468544 -23.529411629023436 -1.366418408516152 -2.0033504545418177 -1.3961143853502802 -23.529411629023436 -0.030292705300145162 -1.924429181164911 -1.2359698219438253 
0.2 -24.99999744 -0.35515427810619604 -5.090566134941597 -4.181462545043897 -24.99999744 -1.4552932638655118 -2.1081626707473813 -1.5706624357258645 -24.99999744 -0.045656159738688196 -1.99391748035662 -1.328178536989752 
0.25 -26.666641235351562 -0.49706427801028363 -5.467870900484112 -5.289297218620786 -26.666641235351562 -1.5563851195682155 -2.233139583887513 -1.7743453766921555 -26.666641235351562 -0.0649474022129013 -2.072190156262024 -1.428771490305225 
0.3 -28.571259859999998 -0.6791723829017764 -5.9624826719555 -6.578160904231489 -28.571259859999998 -1.6725144177529927 -2.383544938456107 -2.0139900107957383 -28.571259859999998 -0.08930957751568869 -2.1607474977047523 -1.5390687270250067 
0.35 -30.768381985429684 -0.9185164636829146 -6.608045370616652 -8.0915705621601 -30.768381985429684 -1.8074260950924455 -2.5663578212935287 -2.298517603858313 -30.768381985429684 -0.120251403420089 -2.2614675632986256 -1.6607392438836808 
0.4 -33.32983808 -1.2397434629141233 -7.450110440348888 -9.887448748247428 -33.32983808 -1.966150123153846 -2.7908899520461663 -2.639658810860302 -33.32983808 -0.1597737672878261 -2.376725727586949 -1.7959141298739154 
0.45 -36.35125431675782 -1.6785503086674674 -8.550924181101106 -12.043702819659869 -36.35125431675782 -2.1554962651576663 -3.069593264940936 -3.052865152643984 -36.35125431675782 -0.21053530926149344 -2.509546806445784 -1.9473277802539013 
0.5 -39.9609375 -2.286527675364152 -9.99605316472263 -14.665899159270044 -39.9609375 -2.3847200572317675 -3.4190879455376333 -3.558431359178801 -39.9609375 -0.27606438606823236 -2.663793659779225 -2.1184880655699603 
0.55 -44.33186881683594 -3.137852753975377 -11.903413534243214 -17.897668872687383 -44.33186881683594 -2.666402248714494 -3.8614397924365376 -4.182834784668611 -44.33186881683594 -0.36102594481707584 -2.8443968401746513 -2.3138765746580243 
0.6 -49.69766911999999 -4.338370469078896 -14.435386001433463 -21.93461085228139 -49.69766911999999 -3.013404213905062 -4.493989780777192 -5.208097061189225 -49.69766911999999 -0.4547136604843667 -3.8048704870601813 -4.516969207879141 
0.65 -56.37355752316407 -6.127529013302038 -18.110891584620788 -27.05368030541527 -56.37355752316407 -3.5440313266877475 -6.2328003642991 -8.533956588826085 -56.37355752316407 -0.5603173791617824 -5.347628203413366 -7.662505604384241 
0.7 -64.78349834 -8.665432604272397 -22.978854968276302 -33.61167334525456 -64.78349834 -4.264902864599481 -8.666649794022765 -12.800478912113322 -64.78349834 -0.6853737201730254 -7.511596146955019 -11.68129783722059 
0.75 -75.49491882324219 -12.271993647837201 -29.5193895367776 -42.09830502560671 -75.49491882324219 -5.2322072864611755 -12.035956336726368 -18.315860983813515 -75.49491882324219 -0.8337196568126366 -10.514047988240257 -16.85964172601267 
0.8 -89.26258176 -17.368982770309415 -38.32007452922919 -53.16634110852332 -89.26258176 -6.5346844407658295 -16.674956464757287 -25.49957228365691 -89.26258176 -1.0104755900271423 -14.644915497659731 -23.577997478071506 
0.85 -107.0834127545703 -24.529887635381755 -50.1651388921584 -67.68292671039532 -107.0834127545703 -8.258206842438472 -23.01153047295901 -34.89258921473508 -107.0834127545703 -1.2252844540190135 -20.289625844824837 -32.33991463612511 
0.9 -130.26431198 -34.52070677760194 -66.08964622622186 -86.7890962296232 -130.26431198 -10.507541361138177 -31.608796713913755 -47.20331860928588 -130.26431198 -1.4922441953503625 -27.954274214585624 -43.80567651270462 
0.95 -160.50522430464844 -48.354435005281346 -87.44816173866987 -111.97406226734988 -160.50522430464844 -13.403463066814927 -43.195003445193706 -63.347685769103954 -160.50522430464844 -1.8320738287030611 -38.29801274743742 -58.834900212167334 
